protein1 protein2 experimental database textmining combined_score
224308.BSU00310 224308.BSU20500 63 462 200 561
224308.BSU00310 224308.BSU21500 0 351 118 403
224308.BSU00310 224308.BSU01230 162 0 0 161
224308.BSU00310 224308.BSU16940 0 330 231 462
224308.BSU00310 224308.BSU17040 0 0 210 210
224308.BSU00310 224308.BSU23710 0 351 118 403
224308.BSU00320 224308.BSU14990 0 0 924 924
224308.BSU00320 224308.BSU17020 0 0 944 944
224308.BSU00320 224308.BSU09190 176 0 0 175
224308.BSU00330 224308.BSU29700 421 0 0 420
224308.BSU00330 224308.BSU31250 421 0 0 420
224308.BSU00330 224308.BSU40970 0 0 153 152
224308.BSU00330 224308.BSU00020 526 0 406 706
224308.BSU00330 224308.BSU00010 526 0 423 714
224308.BSU00330 224308.BSU31240 176 0 0 175
224308.BSU00330 224308.BSU05240 176 0 0 175
224308.BSU00330 224308.BSU39940 176 0 0 175
224308.BSU00340 224308.BSU28430 231 0 0 230
224308.BSU00370 224308.BSU14120 457 0 0 457
224308.BSU00370 224308.BSU01130 0 0 422 422
224308.BSU00380 224308.BSU28770 230 0 0 229
224308.BSU00380 224308.BSU27410 0 0 309 309
224308.BSU00380 224308.BSU15430 536 136 309 698
224308.BSU00380 224308.BSU33280 218 0 0 218
224308.BSU00380 224308.BSU11820 181 0 0 181
224308.BSU00380 224308.BSU28640 580 0 0 580
224308.BSU00380 224308.BSU00920 824 110 309 882
224308.BSU00380 224308.BSU22010 0 0 303 303
224308.BSU00380 224308.BSU16200 232 0 0 231
224308.BSU00380 224308.BSU19400 176 0 0 175
224308.BSU00380 224308.BSU28950 253 0 0 252
224308.BSU00380 224308.BSU23220 176 0 0 175
224308.BSU00380 224308.BSU15290 0 0 309 309
224308.BSU00380 224308.BSU06250 232 0 0 231
224308.BSU00380 224308.BSU34130 204 0 0 204
224308.BSU00380 224308.BSU38460 124 0 303 363
224308.BSU00380 224308.BSU07080 204 0 0 204
224308.BSU00380 224308.BSU01220 153 0 0 152
224308.BSU00380 224308.BSU06610 181 0 0 181
224308.BSU00380 224308.BSU40340 0 0 197 197
224308.BSU00380 224308.BSU11220 0 0 197 197
224308.BSU00380 224308.BSU14350 218 0 0 218
224308.BSU00380 224308.BSU12180 0 0 197 197
224308.BSU00380 224308.BSU06840 218 0 0 218
224308.BSU00380 224308.BSU29670 124 0 303 363
224308.BSU00380 224308.BSU16570 534 136 309 697
224308.BSU00380 224308.BSU37860 232 0 0 231
224308.BSU00380 224308.BSU01190 208 0 0 208
224308.BSU00380 224308.BSU37330 728 136 309 823
224308.BSU00380 224308.BSU16490 206 0 0 206
224308.BSU00380 224308.BSU17050 0 0 309 309
224308.BSU00380 224308.BSU27560 0 0 309 309
224308.BSU00380 224308.BSU35240 218 0 0 218
224308.BSU00380 224308.BSU37560 253 0 0 252
224308.BSU00380 224308.BSU29740 526 0 0 526
224308.BSU00380 224308.BSU22360 537 88 309 682
224308.BSU00380 224308.BSU16320 198 0 0 198
224308.BSU00380 224308.BSU00820 521 89 309 672
224308.BSU00380 224308.BSU19590 218 0 0 218
224308.BSU00380 224308.BSU15130 232 0 0 231
224308.BSU00380 224308.BSU00210 232 0 0 231
224308.BSU00380 224308.BSU30320 546 136 309 705
224308.BSU00380 224308.BSU27820 218 0 0 218
224308.BSU00380 224308.BSU32290 230 0 0 229
224308.BSU00380 224308.BSU01420 115 0 309 362
224308.BSU00380 224308.BSU29820 0 0 164 163
224308.BSU00380 224308.BSU22790 212 0 0 212
224308.BSU00380 224308.BSU39820 181 0 0 181
224308.BSU00380 224308.BSU15800 232 0 0 231
